LookupType_ID	LookupType_Title_Fa	Lookup_ID	Lookup_Title_Fa	LookupCode
9	واحد قیمت	36	ریال	1
9	واحد قیمت	37	دلار	256
9	واحد قیمت	38	درهم	260
9	واحد قیمت	39	یورو	257
9	واحد قیمت	475	یوان	264
30	نوع اشخاص	106	حقیقی	
30	نوع اشخاص	107	حقوقی	
40	نتیجه ماموریت	140	انجام شده	
40	نتیجه ماموریت	141	انجام نشده	
40	نتیجه ماموریت	142	انجام شده با نقص	
42	نوع خدمت	148	مصرف پروژه	
42	نوع خدمت	149	گارانتی	
42	نوع خدمت	150	وارانتی	
42	نوع خدمت	151	گارانتی مشروط	
42	نوع خدمت	157	تخفیفی	
42	نوع خدمت	185	مصرف پروژه گارانتی	
55	نوع فعالیت	203	تعویض قطعه	
55	نوع فعالیت	204	سرویس	
55	نوع فعالیت	229	اورهال	
56	مجری فعالیت	205	هوایار	
56	مجری فعالیت	206	کارفرما	
56	مجری فعالیت	207	هوایار-کارفرما	
62	گرید مشتری	239	A	
62	گرید مشتری	240	B	
62	گرید مشتری	242	C	
62	گرید مشتری	243	تعطیل	
67	نوع قطعه	277	روغن	1
67	نوع قطعه	278	برد	2
67	نوع قطعه	279	المنت فیلتر	3
67	نوع قطعه	280	فیلتر هوا	3
67	نوع قطعه	281	فیلتر سپراتور	3
67	نوع قطعه	282	فیلتر روغن	3
67	نوع قطعه	283	کیت	4
69	مقصد پس از تعمیر	293	مشتری	
69	مقصد پس از تعمیر	294	نمایندگی	
69	مقصد پس از تعمیر	295	هوایار (داغی)	
69	مقصد پس از تعمیر	296	هوایار (برگشت امانی)	
69	مقصد پس از تعمیر	2700	هوایار	
71	در حال تعمیر	301	1-در حال انجام	
71	در حال تعمیر	302	2-توقف	
71	در حال تعمیر	304	3-غیرقابل تعمیر	
71	در حال تعمیر	305	4-تکمیل شده	
71	در حال تعمیر	1535	5-ارسال به پیمانکار	
71	در حال تعمیر	1536	6-در انتظار تایید مشتری	
71	در حال تعمیر	1537	7-در انتظار خرید قطعه	
71	در حال تعمیر	1774	8-در حال تهیه PreCheck	
71	در حال تعمیر	1871	9-در انتظار تست	
71	در حال تعمیر	2092	10-عدم تایید مشتری	
71	در حال تعمیر	2093	11-تحویل به انبار	
71	در حال تعمیر	2236	12-آیتم صوری	
71	در حال تعمیر	2413	13-در انتظار تعمیر	
71	در حال تعمیر	3169	14-در انتظار بازدید مشتری	
71	در حال تعمیر	3175	15-توقف-تعیین تکلیف مشتری	
71	در حال تعمیر	3176	16-توقف-خرید قطعه	
75	اولویت	320	ندارد
	1
