Page_ID	PageTitle	Permission_ID	Permission_Title
91	تنظیمات فروش	1	بدون دسترسی
91	تنظیمات فروش	2	دسترسی کامل
91	تنظیمات فروش	3	مشاهده
91	تنظیمات فروش	4	جدید
91	تنظیمات فروش	5	ویرایش
91	تنظیمات فروش	6	حذف
132	حواله های فروش	1	بدون دسترسی
132	حواله های فروش	2	دسترسی کامل
132	حواله های فروش	3	مشاهده
132	حواله های فروش	8	مشاهده قیمت
132	حواله های فروش	10	ارسال به اکسل
132	حواله های فروش	38	جزئیات
133	سریال حواله های فروش	1	بدون دسترسی
133	سریال حواله های فروش	2	دسترسی کامل
133	سریال حواله های فروش	3	مشاهده
133	سریال حواله های فروش	4	جدید
133	سریال حواله های فروش	5	ویرایش
133	سریال حواله های فروش	6	حذف
134	حواله های برگشتی	2	دسترسی کامل
134	حواله های برگشتی	3	مشاهده
135	سریال حواله های برگشتی	2	دسترسی کامل
135	سریال حواله های برگشتی	3	مشاهده
136	درخواست پشتیبانی	1	بدون دسترسی
136	درخواست پشتیبانی	2	دسترسی کامل
136	درخواست پشتیبانی	3	مشاهده
136	درخواست پشتیبانی	4	جدید
136	درخواست پشتیبانی	5	ویرایش
136	درخواست پشتیبانی	6	حذف
136	درخواست پشتیبانی	7	نمایش همه
136	درخواست پشتیبانی	19	پیوست مدارک
136	درخواست پشتیبانی	110	دسترسی فروش به گزارشات کار خدمات
137	مدیریت درخواست های پشتیبانی	1	بدون دسترسی
137	مدیریت درخواست های پشتیبانی	2	دسترسی کامل
137	مدیریت درخواست های پشتیبانی	3	مشاهده
137	مدیریت درخواست های پشتیبانی	4	جدید
137	مدیریت درخواست های پشتیبانی	5	ویرایش
137	مدیریت درخواست های پشتیبانی	7	نمایش همه
137	مدیریت درخواست های پشتیبانی	10	ارسال به اکسل
137	مدیریت درخواست های پشتیبانی	19	پیوست مدارک
137	مدیریت درخواست های پشتیبانی	39	درخواست کالا
137	مدیریت درخواست های پشتیبانی	40	ماموریت
137	مدیریت درخواست های پشتیبانی	41	گزارش کار
137	مدیریت درخواست های پشتیبانی	42	ارسال پیوست
137	مدیریت درخواست های پشتیبانی	174	ارسال لینک رضایت سنجی
139	پیوست درخواست پشتیبانی	1	بدون دسترسی
139	پیوست درخواست پشتیبانی	2	دسترسی کامل
139	پیوست درخواست پشتیبانی	3	مشاهده
139	پیوست درخواست پشتیبانی	20	مشاهده پیوست
140	ماموریت	1	بدون دسترسی
140	ماموریت	2	دسترسی کامل
140	ماموریت	3	مشاهده
140	ماموریت	4	جدید
140	ماموریت	5	ویرایش
140	ماموریت	6	حذف
140	ماموریت	8	مشاهده قیمت
140	ماموریت	28	چاپ
141	حق ماموریت پرسنل	1	بدون دسترسی
141	حق ماموریت پرسنل	2	دسترسی کامل
141	حق ماموریت پرسنل	3	مشاهده
141	حق ماموریت پرسنل	4	جدید
141	حق ماموریت پرسنل	5	ویرایش
141	حق ماموریت پرسنل	6	حذف
141	حق ماموریت پرسنل	7	نمایش همه
141	حق ماموریت پرسنل	8	مشاهده قیمت
143	گزارش کار	1	بدون دسترسی
143	گزارش کار	2	دسترسی کامل
143	گزارش کار	3	مشاهده
143	گزارش کار	4	جدید
143	گزارش کار	5	ویرایش
143	گزارش کار	6	حذف
143	گزارش کار	8	مشاهده قیمت
143	گزارش کار	19	پیوست مدارک
144	پیوست گزارش کار	1	بدون دسترسی
144	پیوست گزارش کار	2	دسترسی کامل
144	پیوست گزارش کار	3	مشاهده
144	پیوست گزارش کار	20	مشاهده پیوست
147	درخواست کالا	1	بدون دسترسی
147	درخواست کالا	2	دسترسی کامل
