Id	Title	Code	ProductTypeId
1	دمونتاژ ایراند	Y011012C	
2	مونتاژ ایراند	Y011022C	
3	دمونتاژ آنلودر	Y011032C	
4	مونتاژ آنلودر	Y011042C	
5	تعویض فیلتر هوا	Y011052C	
6	تعویض فیلتر روغن	Y011062C	
7	تعویض فیلتر سپراتور 	Y011072C	
8	تعویض روغن	Y011082C	
9	تعویض کیت اویل استاپ ولو	Y011092C	
10	تعویض ترموستاتیک ولو	Y011102C	
11	تعویض کیت مینیمم پرشرولو	Y011112C	
12	تعویض کیت آنلودر	Y011122C	
13	تعویض تسمه ها	Y011132C	
14	دمونتاژ الکتروموتور	Y011142C	
15	مونتاژ الکتروموتور	Y011152C	
16	تعویض پولی ایراند	Y011162C	
17	تعویض پولی الکتروموتور	Y011172C	
18	دمونتاژ مینیمم پرشرولو	Y011182C	
19	مونتاژ مینیمم پرشرولو	Y011192C	
20	تعویض سوپاپ اطمینان	Y011202C	
21	مونتاژ رادیاتور	Y011212C	
22	دمونتاژ رادیاتور	Y011222C	
23	مونتاژ شاسی متحرک	Y011232C	
24	دمونتاژ شاسی متحرک	Y011242C	
25	مونتاژ/تعویض فن خنک کننده	Y011252C	
26	دمونتاژ فن خنک کننده	Y011262C	
27	تعویض کنتاکتور	Y011272C	
28	تعویض بی متال	Y011282C	
29	تعویض کنترل فاز	Y011292C	
30	تعویض کلید حرارتی	Y011302C	
31	تعویض کلید ON-Off	Y011312C	
32	تعویض emergency stop	Y011322C	
33	تعویض برد کنترلی	Y011332C	
34	تعویض سنسور دما	Y011342C	
35	نعویض سنسور فشار	Y011352C	
36	تعویض شیر یکطرفه ساکشن	Y011362C	
37	تنظیم لوله ساکشن	Y011372C	
38	تعویض شلنگ هوا-روغن	Y011382C	
39	تعویض شلنگ از مینیمم به رادیاتور	Y011392C	
40	تعویض شلنگ از مخزن سپراتور به پایه فیلتر	Y011402C	
41	تعویض شلنگ از پایه فیلتر به ایراند	Y011412C	
42	تعویض شلنگ - لوله از پایه فیلتر به رادیاتور(رفت)	Y011422C	
43	تعویض شلنگ - لوله از پایه فیلتر به رادیاتور(برگشت)	Y011432C	
44	تعویض شلنگ های پنوماتیک 	Y011442C	
45	شستشوی رادیاتور	Y011452C	
46	شستشوی کمپرسور	Y011462C	
47	تعویض فوم ها و غبارگیر	Y011472C	
48	تعویض قفل کابینت(هرعدد)	Y011482C	
49	تعویض کابل قدرت 	Y011492C	
50	تعویض بلبرینگ های الکتروموتور	Y011502C	
51	تعویض بلبرینگ های الکتروموتور فن	Y011512C	
52	تعویض پروانه فن	Y011522C	
53	تعویض توری غبارگیر	Y011532C	
54	تعویض sight glass	Y011542C	
55	شستشوی مخزن سپراتور	Y011552C	
56	تعویض شلنگ تخلیه روغن	Y011562C	
57	تعویض شیر تخلیه روغن مخزن سپراتور	Y011572C	
58	تعویض لرزه گیر	Y011582C	
59	تنظیم پولی ها	Y011592C	
60	TEST RUN	Y011602C	
61	تعویض گیج مخزن سپراتور	Y011612C	
62	زنگ زدایی، لکه گیری و نقاشی	Y011622C	
63	تعویض چک ولو زیر ایراند	Y011632C	
64	تعویض واشر آببندی آنلودر	Y011642C	
