Zone_ID	Zone_Title	Zone_SupervisorUser_FK	ZoneType_FK
10	کرج	6	1
15	اصفهان		
16	یزد		
17	فارس		
18	خراسان		
19	کاشان		
20	مازندران		
21	گلستان		
22	کرمان		
23	کردستان		
24	ساوه		
25	زنجان		
26	همدان		
27	تهران غرب		
28	مرکزی		
29	لرستان		
30	کرمانشاه		
31	آذربایجان شرقی		
32	سیستان و بلوچستان		
33	اردبیل		
35	گیلان		
36	خوزستان		
39	آذربایجان غربی		
40	ایلام		
41	بندر عباس		
49	بوشهر		
52	تهران جنوب		
53	قزوین		
54	البرز		
55	قم		
56	تهران شرق		
57	سمنان		
58	کهکیلویه و بویر احمد		
79	تهران شمال		
80	تهران مرکز		
81	هرمزگان		
82	منطقه 1		
83	منطقه 7		
84	منطقه 2		
85	منطقه 3		
86	منطقه 4		
87	منطقه 5		
88	منطقه 6		
89	منطقه 8		
91	منطقه 10		
102	پرتابل		
103	پرتابل/ فرانک عمادی		
116	-		
122	تعمیرگاه		
129	اراک- نمایندگی		
132	حمیدرضا آقاجانی		
133	پروژه 3801		
134	پروژه 3818		
135	پروژه 4163		
136	پروژه 3595		
137	منطقه 9		
138	قزوین2		
139	منطقه 1- تهران غرب		
140	منطقه 1- تهران جنوب		
141	منطقه 1- تهران شرق		
142	منطقه 1 - تهران شمال		
143	منطقه 1- تهران مرکز		
145	منطقه 11		
146	منطقه 12		
147	کل تهران غیر از غرب		
148	چهارمحال بختیاری		
152	منطقه 1- نمایندگی		
153	تجهیزات پزشکی 1		
154	پروژه		
155	منطقه 13		
156	تجهیزات پزشکی 2		
157	منطقه 14		
