"Name","Title"
"Sup.OpenOrderRequest.EngineeringAccept","تامین و خرید -درخواست های باز - تایید مهندسی "
"Sup.OpenOrderRequest.SalesOrProjectAccept","تامین و خرید -درخواست های باز - تایید فروش/پروژه "
"Sup.OpenOrderRequest.Stop","تامین و خرید -درخواست های باز - ثبت توقف "
"Sup.OpenOrderRequest.Start","تامین و خرید -درخواست های باز - راه‌اندازی "
"Sup.OpenOrderRequest.Sending","تامین و خرید -درخواست های باز - در راه "
"Sup.OpenOrderRequest.Query","تامین و خرید -درخواست های باز - استعلام "
"Sup.OpenOrderRequest.Terminate","تامین و خرید -درخواست های باز - خاتمه "
"Sup.OpenOrderRequest.HasEngineering","تامین و خرید -درخواست های باز - دسترسی قابلیت‌های مهندسی "
"Sup.OpenOrderRequest.ShowAll","تامین و خرید -درخواست های باز - نمایش همه درخواست‌ها "
"Sup.OpenOrderRequest.Industrial","تامین و خرید -درخواست های باز - صنایع "
"Sup.OpenOrderRequest.Supply","تامین و خرید -درخواست های باز - تامین و خرید "
"Sup.OpenOrderRequest.ConfigManage","تامین و خرید -درخواست های باز - تنظیمات "
"Sup.OpenOrderRequest.ConfigManageStaticPersonel","تامین و خرید -درخواست های باز - نفرات ثابت ذینفعان  "
"SupplyAndPurchase","تامین و خرید"
"Sale.ProductionOrderItem.SupplyCommitteeBoss","فروش - اقلام سفارش ساخت - رئیس کمیته تامین"
"Sup.Bom.BomWithPrice","تامین خرید - bom محصولات - مشاهده آخرین قیمت"
"SupplierMenu","منو تامین و خرید"
