"LookupType_ID","LookupType_Title_Fa","Lookup_ID","Lookup_Title_Fa","LookupCode"
"66","انواع مدارک محصولات","264","Data Sheet",""
"66","انواع مدارک محصولات","265","Detail Drawing",""
"66","انواع مدارک محصولات","266","P&ID",""
"66","انواع مدارک محصولات","267","Painting Procedure",""
"66","انواع مدارک محصولات","268","Hydrotest Procedure",""
"66","انواع مدارک محصولات","269","NDT Procedure",""
"66","انواع مدارک محصولات","270","ITP",""
"66","انواع مدارک محصولات","271","Wiring Diagram",""
"66","انواع مدارک محصولات","272","I/O List",""
"66","انواع مدارک محصولات","273","Control Philosophy",""
"66","انواع مدارک محصولات","274","Packing & Shipping Procedure",""
"66","انواع مدارک محصولات","275","O&M",""
"66","انواع مدارک محصولات","276","WPS-PQR",""
"66","انواع مدارک محصولات","307","Nameplate",""
"66","انواع مدارک محصولات","308","Technical Documents",""
"66","انواع مدارک محصولات","423","Performance Test",""
"66","انواع مدارک محصولات","484","Part List Book",""
"66","انواع مدارک محصولات","485","General Arrangement",""
"66","انواع مدارک محصولات","705","Sub Vendor List",""
"66","انواع مدارک محصولات","860","Spare Part List",""
"66","انواع مدارک محصولات","1857","BOM",""
"66","انواع مدارک محصولات","2747","*** Catalog (Barcode) ***","1"
"162","نوع دسته خرید","1040","خرید",""
"162","نوع دسته خرید","1041","ساخت",""
"346","نوع توقف","2796","مربوط به مهندسي",""
"346","نوع توقف","2797","مربوط به صنايع",""
"346","نوع توقف","2798","ساير موارد",""
"347","نتيجه بررسي علت توقف","2799","نياز به راه اندازي مجدد",""
"347","نتيجه بررسي علت توقف","2800","نياز به اصلاح BOM",""
"347","نتيجه بررسي علت توقف","2801","نياز به اصلاح مدارك/شرح كالا و غیره",""
"347","نتيجه بررسي علت توقف","2802"," حذف درخواست مرتبط با واحد صنایع",""
"347","نتيجه بررسي علت توقف","2803","در انتظار مدير پروژه / كارفرما",""
"348","وضعیت بررسی توقف","2804","راه اندازي مجدد درخواست",""
"348","وضعیت بررسی توقف","2805","ثبت توقف مجدد",""
"348","وضعیت بررسی توقف","2806","حذف درخواست",""
"350","طبقه کاربری","2829","سایر ذینفعان",""
"350","طبقه کاربری","2830","مهندسی",""
