"PageAction_ID","Page_FK","PageTitle","Permission_ID","Permission_Title","Url"
"203","65","تامین کنندگان","1","بدون دسترسی",""
"204","65","تامین کنندگان","2","دسترسی کامل",""
"205","65","تامین کنندگان","3","مشاهده",""
"206","65","تامین کنندگان","4","جدید",""
"207","65","تامین کنندگان","5","ویرایش",""
"208","65","تامین کنندگان","6","حذف",""
"209","65","تامین کنندگان","10","ارسال به اکسل",""
"227","70","دسته های خرید","1","بدون دسترسی",""
"228","70","دسته های خرید","2","دسترسی کامل",""
"229","70","دسته های خرید","3","مشاهده",""
"230","70","دسته های خرید","4","جدید",""
"231","70","دسته های خرید","5","ویرایش",""
"232","70","دسته های خرید","6","حذف",""
"234","70","دسته های خرید","21","تامین کنندگان",""
"235","71","پیوست درخواست های باز","1","بدون دسترسی",""
"236","71","پیوست درخواست های باز","2","دسترسی کامل",""
"237","71","پیوست درخواست های باز","3","مشاهده",""
"1524","71","پیوست درخواست های باز","4","جدید",""
"1525","71","پیوست درخواست های باز","5","ویرایش",""
"238","71","پیوست درخواست های باز","6","حذف",""
"239","71","پیوست درخواست های باز","20","مشاهده پیوست",""
"240","72","اقلام دسته های خرید","1","بدون دسترسی",""
"241","72","اقلام دسته های خرید","2","دسترسی کامل",""
"242","72","اقلام دسته های خرید","3","مشاهده",""
"243","72","اقلام دسته های خرید","6","حذف",""
"244","73","پیمانکاران هر دسته","1","بدون دسترسی",""
"245","73","پیمانکاران هر دسته","2","دسترسی کامل",""
"246","73","پیمانکاران هر دسته","3","مشاهده",""
"247","73","پیمانکاران هر دسته","4","جدید",""
"248","73","پیمانکاران هر دسته","5","ویرایش",""
"249","73","پیمانکاران هر دسته","6","حذف",""
"250","74","درخواست های باز همکاران سیستم","1","بدون دسترسی",""
"251","74","درخواست های باز همکاران سیستم","2","دسترسی کامل",""
"252","74","درخواست های باز همکاران سیستم","3","مشاهده",""
"3073","74","درخواست های باز همکاران سیستم","5","ویرایش",""
"3180","74","درخواست های باز همکاران سیستم","7","نمایش همه",""
"253","74","درخواست های باز همکاران سیستم","10","ارسال به اکسل",""
"1096","74","درخواست های باز همکاران سیستم","12","تایید مهندسی",""
"254","74","درخواست های باز همکاران سیستم","13","تایید",""
"950","74","درخواست های باز همکاران سیستم","19","پیوست مدارک",""
"255","74","درخواست های باز همکاران سیستم","22","توقف",""
"256","74","درخواست های باز همکاران سیستم","23","راه اندازی",""
"257","74","درخواست های باز همکاران سیستم","24","در راه",""
"258","74","درخواست های باز همکاران سیستم","25","درحال استعلام",""
"259","74","درخواست های باز همکاران سیستم","26","بازخوانی",""
"3019","74","درخواست های باز همکاران سیستم","82","دسترسی مهندسی",""
"2267","74","درخواست های باز همکاران سیستم","101","خاتمه دادن",""
"3176","74","درخواست های باز همکاران سیستم","187","دسترسی فروش یا پروژه",""
"267","76","تنظیمات درخواست های باز","1","بدون دسترسی",""
"268","76","تنظیمات درخواست های باز","2","دسترسی کامل",""
"269","76","تنظیمات درخواست های باز","3","مشاهده",""
"271","76","تنظیمات درخواست های باز","27","ارسال ایمیل",""
"272","77","پیشینه درخواست های باز","1","بدون دسترسی",""
"273","77","پیشینه درخواست های باز","2","دسترسی کامل",""
"274","77","پیشینه درخواست های باز","3","مشاهده",""
"275","77","پیشینه درخواست های باز","10","ارسال به اکسل",""
"276","77","پیشینه درخواست های باز","19","پیوست مدارک",""
"311","83","تامین کنندگان محصولات","1","بدون دسترسی",""
"312","83","تامین کنندگان محصولات","2","دسترسی کامل",""
"313","83","تامین کنندگان محصولات","3","مشاهده",""
"412","104","رسیدهای موقت","1","بدون دسترسی",""
"413","104","رسیدهای موقت","2","دسترسی کامل",""
"414","104","رسیدهای موقت","3","مشاهده",""
"415","104","رسیدهای موقت","4","جدید",""
"416","104","رسیدهای موقت","5","ویرایش",""
"417","104","رسیدهای موقت","6","حذف",""
"977","104","رسیدهای موقت","8","مشاهده قیمت",""
"418","104","رسیدهای موقت","10","ارسال به اکسل",""
"419","104","رسیدهای موقت","19","پیوست مدارک",""
"2487","414","زمان در راه - زمان در راه","3","مشاهده",""
"2488","414","زمان در راه - زمان در راه","4","جدید",""
"2489","414","زمان در راه - زمان در راه","5","ویرایش",""
"2490","414","زمان در راه - زمان در راه","6","حذف",""
"3161","545","پیشینه ارسال به پیمانکاران","2","دسترسی کامل",""
"3160","545","پیشینه ارسال به پیمانکاران","3","مشاهده",""
