"Page_ID","PageTitle","PageName","System_FK","Report_FK"
"65","تامین کنندگان","Company","13",""
"70","دسته های خرید","BuyCategory","13",""
"71","پیوست درخواست های باز","OpenOrderRequest_Attachment","13",""
"72","اقلام دسته های خرید","BuyCategory_Part","13",""
"73","پیمانکاران هر دسته","BuyCategory_Company","13",""
"74","درخواست های باز همکاران سیستم","OpenOrderRequest_Manage","13",""
"76","تنظیمات درخواست های باز","OpenOrderRequest_Config","13",""
"77","پیشینه درخواست های باز","OpenOrderRequest_History","13",""
"83","تامین کنندگان محصولات","Product_Company","13",""
"104","رسیدهای موقت","OpenOrderRequest_NotQc","13",""
"414","زمان در راه - زمان در راه","Supp_LeadTime","13",""
"545","پیشینه ارسال به پیمانکاران","Sup_SendToSupplyersHistory","13",""
